TOOL_NAME,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max
Tool2,339.49,0.500276124,359.44,0.49701805,130.95,0.207825436,0.08189,0.0,37.0,0.0,1809.11,4.007063003,40027.97,25.53381011,25008.46,19.37347162,0.0,22.88,0.013262674,9890.38,1.835033744,906.31,64.44,0.600575244,2601.03,2.59538325,66036.59,33.7305566,29011.25,25.98645402,0.000135751,33.25,0.07545268,22724.36,3.113514859,6787.15,8.499387832,161.88,152.5972044,99.99,99.75,99.57
Tool2,339.62,0.486068088,359.52,0.500054009,131.0,0.0,0.079125,0.0,35.64,0.4866071,1811.66,3.845524017,40026.8,18.28221832,25008.18,11.51891321,0.000210707,22.74,0.014364627,9890.21,1.62611654,915.34,62.86,0.459996394,2605.39,2.712367811,66036.38,34.18882056,29011.94,26.21083585,0.000277773,33.04,0.055404583,22723.77,2.598862021,6788.22,4.604254126,249.77,433.8643716,99.58,99.34,99.13
Tool2,339.35,0.641931616,359.39,0.487041302,132.0,0.0,0.091,0.01,32.89,0.317820863,1805.42,4.064753648,40027.35,27.73366841,25011.5,32.07116574,0.000434613,22.56,0.036532814,9890.17,1.931972871,771.04,58.19,0.633602984,2598.04,2.321576114,66034.06,32.15955126,29012.32,35.95698471,0.000264202,32.81,0.06699126,22723.26,2.998837419,6787.55,3.932496907,256.36,135.02,99.06,98.69,97.89
Tool2,339.26,0.705209332,359.46,0.498484988,131.0,0.0,0.075125,0.0,37.44,0.502518908,1809.89,3.856648464,40033.69,19.96192873,25011.83,14.31915815,0.0,22.91,0.012276281,9890.86,1.763321752,545.44,64.6,0.518887654,2598.61,2.802351808,66038.16,34.70668068,29013.97,19.35798772,0.000239955,33.25,0.070720449,22724.31,2.668797485,6788.05,3.859713777,217.54,136.97,99.68,99.11,97.93
Tool2,339.82,0.628670895,359.62,0.485943335,131.0,0.0,0.078375,0.0,37.82,0.386645767,1807.56,3.467744588,40027.83,19.66654481,25006.88,14.34672783,0.0,22.97,0.016292776,9889.6,1.492874059,796.92,65.23,0.575698554,2596.9,2.778734592,66035.61,33.38144322,29011.28,30.83256547,0.000190574,33.29,0.067021038,22723.65,3.055939896,6788.3,2.355695745,253.19,138.1920283,99.73,99.5,99.13
Tool2,336.73,0.598109184,358.58,0.493793394,130.0,0.0,0.077125,0.0,34.0,0.0,1811.11,3.686656701,40017.98,19.56854176,25007.01,9.038672183,0.0,22.51,0.018733696,9889.51,1.245292235,1238.36,60.69,0.538819884,2600.01,3.470890553,66030.28,36.57515404,29012.28,13.35132797,0.000294861,32.75,0.060043168,22724.13,2.863997342,6787.79,5.326046217,194.1,111.58,100.0,99.02,97.43
Tool2,339.0,0.69039407,359.55,0.497759466,130.0,0.0,0.0875,0.01,32.0,0.0,1815.39,4.001255089,40023.64,22.33240408,25009.16,23.34056367,0.000423915,22.48,0.033165451,9890.71,2.08121935,1078.92,59.04,0.706103881,2617.9,3.646482912,66032.79,33.64707881,29011.28,17.59368494,0.0001787,32.7,0.058270349,22723.74,3.107170972,6787.77,3.52081683,261.49,667.0329,99.17,99.29,99.34
Tool2,339.48,0.500145418,359.55,0.497982348,131.0,0.0,0.074875,0.0,38.86,0.347141757,1806.57,2.518745787,40030.3,18.52948953,25009.57,8.634482396,0.0,23.18,0.014445348,9890.59,1.979527904,899.47,66.67,0.470824774,2595.3,2.552070888,66037.57,32.90578115,29013.77,16.20137341,0.000264202,33.66,0.059973641,22723.48,3.161566347,6787.43,4.249685948,225.6,142.83,100.03,99.59,98.94
Tool2,339.62,0.568551973,359.17,0.376827662,130.97,0.17708412,0.074875,0.0,35.43,0.501055967,1814.18,3.901536533,40030.63,18.7757697,25011.51,7.798025461,0.0,22.67,0.015017608,9890.84,1.819028136,555.7,62.5,0.579360693,2609.89,2.709146749,66037.2,32.68099721,29014.75,18.1483471,0.000221334,32.88,0.063483826,22723.4,2.601408323,6786.59,3.078352398,259.05,430.69,99.62,99.22,98.37
Tool2,337.45,0.552905101,358.36,0.479684353,129.03,0.180037759,0.072625,0.0,36.52,0.505257768,1813.73,3.578772275,40021.47,22.30635896,25010.47,4.672645362,0.0,22.78,0.010165127,9889.42,1.685520416,1096.01,64.59,0.493558471,2608.82,2.932592273,66031.86,32.49316637,29015.69,13.1454682,0.0001787,33.04,0.061929619,22722.73,3.166846643,6786.71,3.889048841,246.11,415.8,99.64,99.34,98.53
Tool2,337.09,0.714113675,358.32,0.465828035,131.3,0.456771358,0.092375,0.01,29.02,0.149071198,1812.07,3.582787132,40022.46,23.18367444,25009.94,16.0857426,0.0,22.19,0.012052076,9890.01,1.581023799,1017.88,53.55,0.913040727,2599.6,3.232412362,66034.3,33.60853218,29011.35,20.14398115,0.000231116,32.34,0.043714551,22724.24,2.732179898,6786.91,4.058070489,241.96,401.3916865,100.39,99.55,98.1
Tool2,337.3,0.629942261,359.15,0.353797102,129.03,0.179993221,0.079875,0.0,23.44,0.502518908,1823.56,2.743219372,40009.44,21.50409106,25006.34,11.42838851,0.000447214,21.98,0.080892746,9889.72,1.556192236,745.65,41.6,3.152774306,2635.14,3.121573327,66024.19,31.85419585,29012.54,18.73834703,0.000190574,32.19,0.058972849,22723.3,3.164453995,6786.66,2.381603157,234.15,262.7113471,100.2,99.91,99.57
Tool2,340.51,0.515949548,360.12,0.319885176,131.0,0.0,0.083,0.0,34.0,0.0,1816.39,2.780462644,40020.81,14.12405174,25004.72,6.514328264,0.000423915,22.55,0.051818924,9889.51,2.161013937,769.33,60.9,0.72985388,2611.1,3.291591329,66028.94,33.89251476,29011.32,12.52958968,0.000165845,32.8,0.060772262,22723.56,3.006973105,6787.27,2.549814001,209.24,175.0595129,99.95,99.74,99.4
Tool2,339.54,0.498641533,359.51,0.50015491,130.0,0.0,0.081,0.0,36.11,0.321038221,1854.64,17.78304773,40024.97,22.96344371,25008.6,21.41700391,0.000369989,22.83,0.017907148,9889.38,2.279550617,727.34,63.55,0.52634551,2601.8,3.587398837,66034.17,33.24738288,29012.24,33.62185886,0.000264202,33.1,0.054916287,22723.43,3.012450428,6787.86,5.34257708,228.04,230.238662,99.6,99.46,99.21
Tool2,339.22,0.61293957,359.41,0.4920161,131.0,0.0,0.068375,0.0,36.89,0.321038221,1804.52,4.51090996,40024.3,22.27137258,25006.52,18.32456461,0.0,22.86,0.021511342,9890.21,2.125039313,840.38,63.74,0.489503609,2591.4,2.877269254,66033.48,33.86842306,29010.86,29.47571594,0.000151761,33.13,0.043895234,22724.04,2.809602586,6787.15,4.615319,265.15,434.35,99.89,98.81,97.15
Tool2,339.9,0.640815063,359.17,0.375851694,131.0,0.0,0.08,0.0,35.0,0.0,1812.71,3.829444668,40022.3,22.08224438,25008.65,7.216353315,0.0,22.66,0.0147436,9889.68,1.752725351,611.85,62.59,0.573081675,2608.54,2.49045392,66038.32,33.50917001,29016.0,25.5430836,0.000212504,32.93,0.061383258,22724.17,2.95343887,6787.82,4.77158222,230.48,270.28,99.34,99.21,98.91
Tool2,339.38,0.486106256,359.18,0.384356332,133.01,0.078566285,0.0899,0.0,36.0,0.0,1812.78,3.807223331,40022.46,18.17129198,25006.95,15.60117075,0.0,22.72,0.014967979,9889.93,1.47231322,746.38,63.08,0.661609394,2605.22,2.603181207,66033.03,29.74686277,29011.91,13.24124479,0.000319516,33.02,0.052862435,22722.94,2.91979516,6787.79,5.554199657,229.99,155.04,98.8,98.72,98.64
Tool2,337.84,0.688171754,359.12,0.327137476,131.0,0.0,0.082875,0.01,22.95,0.428873346,1827.8,1.518560295,40016.31,31.19068764,25007.77,9.422933374,0.000290803,22.06,0.032067582,9889.59,1.747470677,804.49,40.11,3.355715889,2633.27,2.957040271,66031.24,33.07396968,29013.37,16.49280327,0.000212027,32.25,0.054735491,22723.74,2.950156215,6787.01,2.222397446,219.74,167.25,99.54,98.98,97.95
Tool2,339.28,0.681674141,359.43,0.494737667,131.0,0.0,0.0765,0.0,38.0,0.0,1806.27,4.019271757,40026.04,24.91539429,25010.48,7.926513139,0.0,23.02,0.031009936,9890.37,1.814443112,928.28,65.67,0.469659819,2596.34,2.529319268,66038.15,30.90261262,29015.52,18.31784943,0.000224325,33.42,0.054304311,22723.58,2.896324993,6786.6,3.292855498,229.75,152.84,99.67,99.18,98.07
Tool2,337.95,0.689617079,359.09,0.287862542,131.0,0.0,0.097125,0.01,23.45,0.503686201,1826.43,2.182357668,40020.48,22.48362748,25007.42,7.743223985,0.000390154,22.1,0.035134143,9888.72,1.572932065,873.83,40.58,3.276540277,2632.08,3.22343872,66032.14,35.67011766,29012.88,13.07856243,0.000248389,32.28,0.068856882,22723.22,2.562622507,6787.22,3.723601959,240.74,667.52,99.95,99.7,99.53
Tool2,337.2,0.398873814,358.29,0.455197882,130.55,0.498247408,0.070625,0.0,34.09,0.290803363,1809.73,3.750123324,40024.97,15.90055484,25008.32,7.084854249,0.0,22.64,0.013568011,9890.55,2.008414666,864.31,60.74,0.632448529,2617.76,4.749770964,66030.87,31.82049731,29013.84,18.74870265,0.000221827,32.95,0.054443773,22723.09,2.959203794,6786.44,4.165822283,209.97,88.63,99.62,99.17,98.38
Tool2,336.9,0.63756443,358.32,0.468002561,129.05,0.211329626,0.07975,0.01,32.0,0.0,1813.3,3.224755592,40021.47,18.91645358,25006.73,5.289380803,0.0,22.36,0.01130726,9889.42,1.435678223,1101.14,59.17,0.691816433,2608.64,2.7946714,66029.43,37.62224299,29011.52,12.95249935,0.000190144,32.61,0.051918505,22723.0,2.739636534,6787.77,3.419019875,246.84,150.6439602,99.54,99.71,99.97
Tool2,339.37,0.547020328,359.38,0.486457388,130.0,0.0,0.0765,0.0,35.77,0.423915106,1809.75,4.303189731,40028.63,18.27368555,25007.91,7.382935015,0.0,22.75,0.021708232,9890.13,2.434447372,945.37,62.85,0.497580291,2599.17,4.003873578,66035.16,35.66668672,29011.92,26.77047019,0.000242159,33.14,0.048140459,22725.19,3.093878732,6787.45,2.167016447,270.04,429.47,99.98,99.38,98.73
