TOOL_NAME,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max
Tool4,339.39,0.487541863,359.39,0.487541863,133.0,0.0,0.092625,0.0,33.05,0.210707055,1880.48,3.527227229,40056.43,9.811764995,25011.79,12.84906828,0.0,22.93,0.006502561,9912.65,1.558784163,942.93,55.09,0.289928807,2736.73,3.79385378,66038.34,34.91552023,29020.4,8.630566816,0.000229092,33.49,0.063302402,22762.26,2.712785465,6805.32,1.688438476,143.81,145.27,99.93,99.55,98.75
Tool4,339.45,0.498026938,359.39,0.488423151,133.0,0.0,0.099125,0.0,34.0,0.0,1889.44,4.213374568,40052.25,16.42305841,25011.83,4.281081086,0.0,22.87,0.014522709,9906.41,1.572431216,1052.07,58.25,0.433345149,2759.27,5.249558048,66033.65,30.17591481,29019.9,7.07492507,0.00021015,33.38,0.065748996,22754.07,2.738245868,6805.61,1.133980326,121.1,297.6255875,99.51,99.93,100.31
Tool4,339.61,0.488371592,359.46,0.499155561,137.06,0.245132052,0.090625,0.0,33.0,0.0,1885.6,2.896134821,40050.59,20.39501261,25012.67,4.258357659,0.0,22.86,0.012750263,9908.95,1.845306962,883.84,53.32,0.466765405,2743.57,4.088796151,66035.95,32.67920093,29020.54,8.270928787,0.000275903,33.35,0.065852718,22752.37,2.577532368,6804.67,2.583270442,120.12,312.76,100.12,99.81,99.34
Tool4,339.61,0.500078547,359.54,0.498971012,135.0,0.0,0.09575,0.0,33.0,0.0,1883.95,5.094249131,40055.6,14.41911072,25012.0,9.660017242,0.0,22.86,0.008016895,9910.11,1.570676997,927.79,54.73,0.443563515,2743.36,3.05653757,66034.53,37.96284658,29020.57,7.788950874,0.000199846,33.39,0.065256299,22758.06,2.647009894,6804.83,2.471844825,133.55,261.0,100.14,99.7,98.93
Tool4,338.94,0.658162963,359.37,0.482951381,135.0,0.0,0.0945,0.0,31.11,0.317820863,1892.33,4.931346856,40059.74,11.25621734,25012.51,4.384228297,0.0,22.61,0.008059125,9915.28,2.116850309,997.62,53.62,0.513197908,2760.88,4.250783988,66041.05,36.92189655,29020.26,12.69374864,0.00026213,32.98,0.062033149,22766.53,2.70293432,6804.81,2.709155443,133.8,133.5530733,100.2,100.31,100.68
Tool4,339.32,0.629137933,359.27,0.446122954,131.0,0.0,0.090125,0.0,31.0,0.0,1881.49,4.993733447,40049.32,22.05154644,25011.22,9.413222383,0.0,22.6,0.029201494,9894.57,1.971024098,1214.43,53.91,0.561729645,2738.39,3.864297569,66036.01,35.94314727,29019.73,8.666892945,0.000177093,32.89,0.069266172,22709.11,16.82058247,6804.52,2.216827433,153.33,481.2305439,100.9,100.49,99.59
Tool4,339.63,0.482206467,359.53,0.499425311,133.0,0.0,0.100625,0.0,34.0,0.0,1886.02,3.922481177,40054.37,14.52300988,25012.72,5.164585945,0.0,22.87,0.017297165,9881.58,1.294830207,982.97,58.38,0.485978513,2745.25,3.360005933,66037.4,34.13107137,29020.53,4.573790471,0.000219874,33.38,0.058918939,22696.84,3.31305811,6805.65,1.258369291,129.89,99.127144,99.96,99.69,99.59
Tool4,337.75,0.572312695,358.93,0.248708164,135.64,0.479818351,0.096625,0.0,31.0,0.0,1878.49,3.91196025,40055.19,13.96623614,25011.25,7.242327778,0.0,22.6,0.006622222,9908.27,2.030230929,1334.8,50.6,0.490261885,2731.95,5.04954122,66035.47,35.2346106,29019.66,5.575306484,0.000177093,33.07,0.069901517,22750.43,2.741039918,6803.98,2.454458979,139.66,302.51,100.65,99.95,98.32
Tool4,340.37,0.481894227,360.0,0.0,133.0,0.0,0.093125,0.0,33.0,0.0,1901.11,3.786241366,40043.95,13.40401277,25010.27,3.981474555,0.0,22.77,0.007583224,9912.23,1.549661721,1098.21,56.41,0.594392641,2764.0,3.684926372,66027.71,33.74767998,29018.88,10.78979137,0.000269329,33.23,0.054856443,22762.82,2.712442628,6805.03,1.288949639,135.99,107.6725874,100.63,100.67,100.36
Tool4,338.57,0.495955266,359.02,0.146247968,132.0,0.0,0.0875,0.0,34.0,0.0,1889.11,4.508689702,40053.06,23.43245587,25012.38,8.596705925,0.0,22.75,0.011272564,9879.59,2.179135506,1144.85,57.69,0.464933509,2761.88,7.049719193,66034.93,36.55829445,29020.87,6.349342349,0.000188869,33.17,0.067128044,22703.14,4.692832102,6804.08,2.539005246,139.41,495.3915644,100.25,100.24,99.9
