TOOL_NAME,LOTID,GLSID,RECIPEID,MODEL_NAME,TIME_STAMP,PAS연동여부,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max,추가정보_정상.이상여부,추가정보_Data_Resume
P8TCVD060309,P8CB16005800,P8CB16002F19,RUN_1ST_23,CB,2011-06-04 5:19,NG,339.39,0.487541863,359.39,0.487541863,133,0,0.092625,0,33.05,0.210707055,1880.48,3.527227229,40056.43,9.811764995,25011.79,12.84906828,0,22.93,0.006502561,9912.65,1.558784163,942.93,55.09,0.289928807,2736.73,3.79385378,66038.34,34.91552023,29020.4,8.630566816,0.000229092,33.49,0.063302402,22762.26,2.712785465,6805.32,1.688438476,143.81,145.27,99.93,99.55,98.75,정상,Normal
P8TCVD060307,P8CA15002W00,P8CA15001V14,RUN_1ST_23,CA,2011-05-18 22:03,OK,339.49,0.500276124,359.44,0.49701805,130.95,0.207825436,0.08189,0,37,0,1809.11,4.007063003,40027.97,25.53381011,25008.46,19.37347162,0,22.88,0.013262674,9890.38,1.835033744,906.31,64.44,0.600575244,2601.03,2.59538325,66036.59,33.7305566,29011.25,25.98645402,0.000135751,33.25,0.07545268,22724.36,3.113514859,6787.15,8.499387832,161.88,152.5972044,99.99,99.75,99.57,정상,Normal
P8TCVD060306,P8FB16008B00,P8FB16005G19,RUN_1ST_23,FB,2011-06-10 5:46,NG,338.17,0.534528099,359.14,0.349301224,131.99,0.077967025,0.129875,0.01,21.8,0.404519917,2008.58,3.30625364,40017.42,49.88133324,24984.5,5.018606711,0,22.78,0.014815362,10006.14,1.416025505,347.68,39.01,2.923854299,2994.74,2.756254572,66001.63,33.01561636,28989.96,7.543535031,0.000215936,33.28,0.055907923,22970.73,2.792419189,6804.1,2.072176807,232.19,288.84,100.07,98.69,97.21,정상,Normal
P8TCVD060309,P8CB1501EQ00,P8CB1501D315,RUN_1ST_23,CB,2011-05-25 12:38,NG,339.45,0.498026938,359.39,0.488423151,133,0,0.099125,0,34,0,1889.44,4.213374568,40052.25,16.42305841,25011.83,4.281081086,0,22.87,0.014522709,9906.41,1.572431216,1052.07,58.25,0.433345149,2759.27,5.249558048,66033.65,30.17591481,29019.9,7.07492507,0.00021015,33.38,0.065748996,22754.07,2.738245868,6805.61,1.133980326,121.1,297.6255875,99.51,99.93,100.31,정상,Normal
P8TCVD060308,P8CB15017F00,P8CB15017F15,RUN_1ST_23,CB,2011-05-26 3:31,OK,339.47,0.499472393,359.14,0.349973835,133,0,0.076875,0,38,0,1950.86,5.302877276,40090.23,34.27474502,24984.88,18.74948926,0,20.62,0.014276046,9892.04,1.807788897,384.3,67.88,0.742339148,2902.86,2.254737829,66107.76,26.51066811,28995.06,13.56662604,0.000276489,31.24,0.054428558,22743.84,2.730766241,6785.05,2.059601504,159.68,156.0153818,99.83,99.78,99.76,정상,Normal
P8TCVD060306,P8CB1501G100,P8CB1501DS14,RUN_1ST_23,CB,2011-05-25 22:52,NG,338.45,0.620054818,359.01,0.094912536,131,0,0.1075,0.01,31,0,2002.84,4.926530937,40012.21,35.50763492,24984.5,4.668979793,0,23.11,0.015608855,10005.94,1.519855893,385.77,55.46,0.794890426,2985.58,3.312245587,66006.82,33.18730761,28990.22,6.750951158,0.000194127,33.75,0.030263232,22971.57,2.348952369,6803.01,2.595806836,220.47,453.6409693,100.39,99.68,98.96,정상,Normal
P8TCVD060306,P8CB16009J00,P8CB16008B06,RUN_1ST_23,CB,2011-06-06 6:36,OK,339.6,0.489269497,359.41,0.492797187,134.42,0.493910262,0.1465,0.01,35,0,1999.39,4.900004315,40028.63,47.9092729,24984.05,4.577378426,0,23.46,0.013174708,10006.08,1.842744021,403.34,60.61,0.571187693,2984.07,2.835266733,66009.32,31.37387857,28990.8,5.583123257,0.000225894,34.15,0.050521669,22972.1,2.815239574,6804.61,2.016394363,186.53,262.22,99.2,98.39,97.56,정상,Normal
P8TCVD060306,P8FA16002A00,P8FA16000Q13,RUN_1ST_23,FA,2011-06-02 16:39,OK,339.49,0.500274206,359.53,0.499748512,134,0,0.11725,0.01,34,0,2003.69,4.694398123,40015.14,39.17778185,24984.57,5.767049588,0,23.32,0.013245926,10005.98,1.92846338,487.09,59.48,0.598819179,2989.56,2.13353807,66009.07,28.54584088,28990.36,5.661166148,0.000265774,34.06,0.061737283,22971.2,2.821214257,6804.44,2.111043826,210.22,268.82,98.64,98.25,97.66,정상,Normal
P8TCVD060309,P8CB1600A700,P8CB16008S03,RUN_1ST_23,CB,2011-06-06 10:28,OK,339.61,0.488371592,359.46,0.499155561,137.06,0.245132052,0.090625,0,33,0,1885.6,2.896134821,40050.59,20.39501261,25012.67,4.258357659,0,22.86,0.012750263,9908.95,1.845306962,883.84,53.32,0.466765405,2743.57,4.088796151,66035.95,32.67920093,29020.54,8.270928787,0.000275903,33.35,0.065852718,22752.37,2.577532368,6804.67,2.583270442,120.12,312.76,100.12,99.81,99.34,정상,Normal
P8TCVD060306,P8GA16003500,P8GA16001812,RUN_1ST_23,GA,2011-06-11 21:42,NG,339.46,0.498827589,359.45,0.498284384,135,0,0.113,0.01,37.93,0.25226249,1995.8,4.998181487,40024.42,37.15221317,24986.27,6.408421966,0,23.88,0.014005771,10006.27,2.009316514,292.25,63.49,0.501013172,2969.95,7.836508868,66010.03,38.1049173,28990.76,6.09789734,0.000182482,34.58,0.038205263,22970.74,2.514079426,6804.25,2.583110387,230.73,478.54,98.88,97.74,96.08,정상,Normal
