TOOL_NAME,LOTID,GLSID,RECIPEID,MODEL_NAME,TIME_STAMP,PAS연동여부,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max,추가정보_정상.이상여부,추가정보_Data_Resume
P8TCVD060308,P8CB1602AF00,P8CB16028E08,RUN_1ST_23,CB,2011-06-26 14:46,OK,339.5345,0.4992,359.4141,0.493,139,0,0.1531,0.012,41.6444,0.4841,1979.5111,4.5208,40083.664,32.1364,24988.9113,20.6235,0,21.158,0.0227,9892.8157,1.542,284.9295,68.9296,0.7267,2944.0047,2.8805,66107.0691,24.3854,28995.3459,12.5947,2.00E-04,31.9745,0.0618,22743.9814,2.6056,6783.2036,2.4442,187.7556,266.1295,99.38,100.47,100.71,이상,"PPD,RFRS_NG"
P8TCVD060308,P8CB16027500,P8CB16024E10,RUN_1ST_23,CB,2011-06-25 15:17,OK,339.0381,0.555,359,0,135,0,0.1415,0.011,41.8222,0.3866,1977.2444,4.5184,40092.6163,27.1451,24988.7078,19.8174,0,21.0631,0.0133,9892.246,1.6543,405.7865,68.6901,0.5119,2924.2958,3.4847,66106.003,25.2174,28996.3918,17.4449,3.00E-04,31.7473,0.0736,22743.7235,2.8576,6784.7583,1.7552,181.1634,785.4483,100.1,99.72,98.58,이상,"PPD,RFRS_NG"
P8TCVD060309,P8CB17003T00,P8CB17002313,RUN_1ST_23,CB,2011-07-03 18:49,OK,338.7123,0.7063,358.8534,0.3843,131.1243,0.3302,0.0944,0.005,19.4444,0.5025,1880.2222,5.8539,40041.0181,17.2062,25010.9531,5.3189,0,22.2149,0.0195,9845.2868,1.8569,2486.2357,27.8479,2.1365,2666.765,11.7653,66030.8497,32.4746,29019.1642,7.5926,2.00E-04,32.4209,0.0648,22678.524,16.5019,6804.5836,2.8961,163.0959,138.6803,100,100,100,이상,"GS5D,RFM_NG"
P8TCVD060308,P8CB16028700,P8CB16024W20,RUN_1ST_23,CB,2011-06-25 22:05,OK,339.5884,0.4925,359.4453,0.4974,137,0,0.1536,0.013,40,0,1973.8444,4.1667,40114.2648,23.3931,24987.487,22.9533,0,20.9004,0.0135,9893.6296,2.0593,354.5138,66.6415,0.5454,2927,2.4553,66107.5275,23.4836,28995.6282,12.592,2.00E-04,31.7713,0.0691,22743.7352,2.7804,6784.263,2.439,226.3322,131.5998,99.37,99.78,99.08,이상,"PPD,RFRS_NG"
P8TCVD060309,P8GA1600SP00,P8GA1600RQ19,RUN_1ST_23,GA,2011-07-01 22:22,NG,340.2177,0.413,359.6562,0.4753,132,0,0.0855,0.004,26,0,1856.3409,4.0113,40040.7851,24.7459,25010.2656,4.2448,0,22.6191,0.011,9849.5114,1.7781,3621.0706,39.0461,0.5755,2683.1751,2.6259,66035.4402,40.5016,29019.8956,7.4432,2.00E-04,32.9837,0.0636,22590.5689,25.548,6805.3782,2.3757,129.6466,285.4178,100.21,100.42,100.84,이상,"GS5D,RFM_NG"
P8TCVD060307,P8CB17006N00,P8CB17004E18,RUN_1ST_23,CB,2011-07-05 6:53,OK,339.616,0.4867,359.4464,0.4975,131,0,0.1336,0.011,32,0,1805.4091,2.1921,40027.301,26.5444,25006.8669,14.1647,3.00E-04,22.6445,0.0267,9889.9635,2.0066,869.682,53.3192,0.6739,2590.3897,3.3553,66035.3699,35.1032,29010.9495,31.3364,2.00E-04,32.8803,0.0666,22723.4088,3.9256,6787.7529,6.2455,320.5762,377.9528,100.03,99.41,98.37,이상,"PPD,GS1D"
P8TCVD060309,P8GA17001U00,P8GA17000W06,RUN_1ST_23,GA,2011-07-02 17:20,NG,337.4879,0.5003,358.686,0.4645,131,0,0.0959,0.005,23.6889,0.4682,1842.4222,3.8759,40054.6908,11.1084,25011.7669,8.3367,0,22.4007,0.0099,9860.343,2.2563,3275.3464,35.4378,0.5669,2657.765,2.6167,66034.6301,28.9104,29019.8956,6.5627,1.00E-04,32.6682,0.0658,22653.0142,15.037,6805.4626,1.7805,161.3868,429.7137,100,99.53,98.79,이상,"GS5D,RFM_NG"
P8TCVD060308,P8CB16027400,P8CB16024E01,RUN_1ST_23,CB,2011-06-25 14:52,NG,339.2955,0.5104,359.4448,0.4973,135,0,0.1463,0.011,39,0,1972.6222,4.8537,40084.315,14.701,24990.8103,21.9271,0,20.7498,0.0166,9891.8391,1.806,507.3552,65.5587,0.6747,2939.3005,34.3425,66101.4638,23.8795,28994.7584,17.3228,3.00E-04,31.4938,0.0666,22744.2479,2.921,6784.658,3.1525,214.1244,479.0331,100.38,99.71,98.02,이상,"PPD,RFRS_NG"
P8TCVD060308,P8CB1602AM00,P8CB16025G12,RUN_1ST_23,CB,2011-06-26 15:57,OK,339.5997,0.4903,359.5098,0.5003,139.7191,0.4498,0.146,0.012,39.7333,0.4472,1989.3556,4.6278,40094.5696,36.9489,24986.8766,25.3397,0,20.9827,0.0096,9892.775,1.6358,556.9188,67.0991,0.7185,2957.7453,4.5698,66109.0131,26.8286,28994.419,11.1839,3.00E-04,31.7308,0.057,22743.2342,2.9769,6783.1041,2.0308,221.9374,143.3193,98.83,100.47,101.06,이상,"PPD,RFRS_NG"
P8TCVD060308,P8CB1602E200,P8CB1602C513,RUN_1ST_23,CB,2011-06-27 17:08,NG,339.758,0.5885,359.4763,0.4998,139,0,0.1654,0.014,39,0,1988.4,4.5197,40092.7791,22.1948,24985.995,21.4014,0,20.9187,0.0122,9892.7343,1.8921,537.1422,65.5164,0.7746,2953,4.4605,66107.1379,23.2426,28995.2312,11.9642,2.00E-04,31.7839,0.0711,22743.6032,2.3965,6783.9702,2.7827,226.088,137.4596,99.03,99.98,100.41,이상,"PPD,RFRS_NG"
